"order_id","cust_id","quantity","total_price","gender","locations","delivery","payment","category"
"ORD-SB-001","SD-USR1001",1,"26000","Male","Jawa Tengah","Express Delivery","GoPay","Snacks & Drinks"
"ORD-SB-001","SD-USR1001",1,"7600","Male","Jawa Tengah","Express Delivery","GoPay","Snacks & Drinks"
"ORD-SB-001","SD-USR1001",1,"79100","Male","Jawa Tengah","Express Delivery","GoPay","Frozen Meat"
"ORD-SB-001","SD-USR1001",2,"63200","Male","Jawa Tengah","Express Delivery","GoPay","Fruits "
"ORD-SB-001","SD-USR1001",1,"9000","Male","Jawa Tengah","Express Delivery","GoPay","Eggs & Dairy Products"
"ORD-SB-0010","SD-USR10010",2,"10400","Male","Jawa Timur","Standard Delivery","Dana","Snacks & Drinks"
"ORD-SB-0010","SD-USR10010",2,"132400","Male","Jawa Timur","Standard Delivery","Dana","Sembako"
"ORD-SB-0010","SD-USR10010",1,"128500","Male","Jawa Timur","Standard Delivery","Dana","Sembako"
"ORD-SB-0010","SD-USR10010",1,"8800","Male","Jawa Timur","Standard Delivery","Dana","Household Supplies"
"ORD-SB-0010","SD-USR10010",1,"7800","Male","Jawa Timur","Standard Delivery","Dana","Condiments"
"ORD-SB-0010","SD-USR10010",2,"10400","Male","Jawa Timur","Standard Delivery","Dana","Bread and Bakery"
"ORD-SB-0011","SD-USR10011",1,"118600","Male","Jawa Barat","Standard Delivery","GoPay","Snacks & Drinks"
"ORD-SB-0011","SD-USR10011",1,"70700","Male","Jawa Barat","Standard Delivery","GoPay","Sembako"
"ORD-SB-0011","SD-USR10011",1,"45100","Male","Jawa Barat","Standard Delivery","GoPay","Condiments"
"ORD-SB-0011","SD-USR10011",2,"19600","Male","Jawa Barat","Standard Delivery","GoPay","Household Supplies"
"ORD-SB-0011","SD-USR10011",2,"68400","Male","Jawa Barat","Standard Delivery","GoPay","Eggs & Dairy Products"
"ORD-SB-0011","SD-USR10011",1,"6900","Male","Jawa Barat","Standard Delivery","GoPay","Bread and Bakery"
"ORD-SB-002","SD-USR1002",1,"10300","Male","Jawa Barat","Large Delivery","Dana","Snacks & Drinks"
"ORD-SB-002","SD-USR1002",1,"10900","Male","Jawa Barat","Large Delivery","Dana","Snacks & Drinks"
"ORD-SB-002","SD-USR1002",1,"53800","Male","Jawa Barat","Large Delivery","Dana","Snacks & Drinks"
"ORD-SB-002","SD-USR1002",2,"100800","Male","Jawa Barat","Large Delivery","Dana","Frozen Meat"
"ORD-SB-002","SD-USR1002",1,"55000","Male","Jawa Barat","Large Delivery","Dana","Ice Cream"
"ORD-SB-002","SD-USR1002",1,"34200","Male","Jawa Barat","Large Delivery","Dana","Eggs & Dairy Products"
