"order_date","order_id","item_id","product_name","category","product_price","cogs","quantity","total_price","locations"
"2023-06-01","ORD-SB-001","SB-GRO001","Pringles Cheesy Cheese Keripik 102gr","Snacks & Drinks","26000","20000",1,"26000","Jawa Tengah"
"2023-06-01","ORD-SB-001","SB-GRO008","Tebs Tea With Soda Sparkling Mix Fruit Botol 500 ml","Snacks & Drinks","7600","6577",1,"7600","Jawa Tengah"
"2023-06-01","ORD-SB-001","SB-FRZ00121","Slice Beef US Shortplate Sukiyaki/Yoshinoya 500 gr","Frozen Meat","79100","60780",1,"79100","Jawa Tengah"
"2023-06-01","ORD-SB-001","SB-FRS0064","Jeruk Lemon Import 1 kg","Fruits ","31600","27451",2,"63200","Jawa Tengah"
"2023-06-01","ORD-SB-001","SB-FRS0096","Metzger Classic Herb & Garlic Butter Cup (20 gr)","Eggs & Dairy Products","9000","7811",1,"9000","Jawa Tengah"
"2023-06-01","ORD-SB-0010","SB-GRO0011","Aqua Air Mineral Botol 1.5 liter","Snacks & Drinks","5200","4500",2,"10400","Jawa Timur"
"2023-06-01","ORD-SB-0010","SB-GRO0052","BERAS RAJA ULTIMA 5KG","Sembako","66200","57541",2,"132400","Jawa Timur"
"2023-06-01","ORD-SB-0010","SB-GRO0054","Tropicana Slim Classic Refill 500gr - Pengganti Gula","Sembako","128500","91765",1,"128500","Jawa Timur"
"2023-06-01","ORD-SB-0010","SB-LIV00166","Tissue TOWEL Multifold ECONO RED 150s","Household Supplies","8800","6700",1,"8800","Jawa Timur"
"2023-06-01","ORD-SB-0010","SB-GRO0045","Sasa Tepung Bumbu Serbaguna Original Fortified 210 gram","Condiments","7800","6700",1,"7800","Jawa Timur"
"2023-06-01","ORD-SB-0010","SB-FRS00109","MyRoti Roti Isi Cokelat 58 gram","Bread and Bakery","5200","4500",2,"10400","Jawa Timur"
"2023-06-01","ORD-SB-0011","SB-GRO0013","Nestle MILO Coklat Nuggets 25g","Snacks & Drinks","118600","103123",1,"118600","Jawa Barat"
"2023-06-01","ORD-SB-0011","SB-GRO0051","Topi Koki Sentra Ramos Beras Putih 5 kg","Sembako","70700","61432",1,"70700","Jawa Barat"
"2023-06-01","ORD-SB-0011","SB-GRO0057","Himalayan Salt 1 Kg","Condiments","45100","32176",1,"45100","Jawa Barat"
"2023-06-01","ORD-SB-0011","SB-LIV00167","Mama Lemon Sabun Cuci Piring Jeruk Nipis 430 ml","Household Supplies","9800","7500",2,"19600","Jawa Barat"
"2023-06-01","ORD-SB-0011","SB-FRS0098","Anchor Pure New Zealand Butter Minidish (Salted ) - 10 x 7gr","Eggs & Dairy Products","34200","29667",2,"68400","Jawa Barat"
"2023-06-01","ORD-SB-0011","SB-FRS00110","5 Days Croissant Creamy Cheese ","Bread and Bakery","6900","6000",1,"6900","Jawa Barat"
"2023-06-01","ORD-SB-002","SB-GRO002","Qtela Kerupuk Keriting Original 180 gram","Snacks & Drinks","10300","7890",1,"10300","Jawa Barat"
"2023-06-01","ORD-SB-002","SB-GRO007","Coca-Cola Original - Botol 1.5lt","Snacks & Drinks","10900","9401",1,"10900","Jawa Barat"
"2023-06-01","ORD-SB-002","SB-GRO0012","AQUA Air Mineral 600ml x 12 botol","Snacks & Drinks","53800","43000",1,"53800","Jawa Barat"
"2023-06-01","ORD-SB-002","SB-FRZ00122","Dory Fish Fillet Premium 1 kg","Frozen Meat","50400","38700",2,"100800","Jawa Barat"
"2023-06-01","ORD-SB-002","SB-FRZ00145","Ice Cream Magnum Mini Mix 6X45mL","Ice Cream","55000","47800",1,"55000","Jawa Barat"
"2023-06-01","ORD-SB-002","SB-FRS0097","Anchor Pure New Zealand Butter Minidish Unsalted 10 pcs x 7 gram","Eggs & Dairy Products","34200","29667",1,"34200","Jawa Barat"
"2023-06-01","ORD-SB-003","SB-GRO003","Cereal SIMBA Choco Chips Bag 1 kg","Snacks & Drinks","46500","35764",2,"93000","Jawa Timur"
"2023-06-01","ORD-SB-003","SB-GRO0060","Wafer Coklat Superstar Triple Chocolate Box 12 Pcs @ 216 Gr","Snacks & Drinks","13600","11751",1,"13600","Jawa Timur"
"2023-06-01","ORD-SB-003","SB-FRZ00123","Dada Ayam Boneless Tanpa Tulang & Kulit 1 kg","Frozen Meat","56100","43100",2,"112200","Jawa Timur"
"2023-06-01","ORD-SB-003","SB-GRO0050","SANIA BERAS 5KG","Sembako","65300","56700",1,"65300","Jawa Timur"
"2023-06-01","ORD-SB-003","SB-FRS0098","Anchor Pure New Zealand Butter Minidish (Salted ) - 10 x 7gr","Eggs & Dairy Products","34200","29667",2,"68400","Jawa Timur"
