Order_ID,Item_ID,Item_Price,Quantity,Total_Price
ORD-SB-001,SB-GRO001,26000,1,26000
ORD-SB-001,SB-GRO008,7600,1,7600
ORD-SB-001,SB-FRZ00121,79100,1,79100
ORD-SB-001,SB-FRS0064,31600,2,63200
ORD-SB-001,SB-FRS0096,9000,1,9000
ORD-SB-0010,SB-GRO0011,5200,2,10400
ORD-SB-0010,SB-GRO0052,66200,2,132400
ORD-SB-0010,SB-GRO0054,128500,1,128500
ORD-SB-0010,SB-LIV00166,8800,1,8800
ORD-SB-0010,SB-GRO0045,7800,1,7800
ORD-SB-0010,SB-FRS00109,5200,2,10400
ORD-SB-0011,SB-GRO0013,118600,1,118600
ORD-SB-0011,SB-GRO0051,70700,1,70700
ORD-SB-0011,SB-GRO0057,45100,1,45100
ORD-SB-0011,SB-LIV00167,9800,2,19600
ORD-SB-0011,SB-FRS0098,34200,2,68400
ORD-SB-0011,SB-FRS00110,6900,1,6900
ORD-SB-002,SB-GRO002,10300,1,10300
ORD-SB-002,SB-GRO007,10900,1,10900
ORD-SB-002,SB-GRO0012,53800,1,53800
ORD-SB-002,SB-FRZ00122,50400,2,100800
ORD-SB-002,SB-FRZ00145,55000,1,55000
ORD-SB-002,SB-FRS0097,34200,1,34200
ORD-SB-003,SB-GRO003,46500,2,93000
ORD-SB-003,SB-GRO0060,13600,1,13600
ORD-SB-003,SB-FRZ00123,56100,2,112200
ORD-SB-003,SB-GRO0050,65300,1,65300
ORD-SB-003,SB-FRS0098,34200,2,68400
ORD-SB-004,SB-GRO004,7700,1,7700
ORD-SB-004,SB-GRO006,8700,2,17400
ORD-SB-004,SB-GRO0024,66700,1,66700
ORD-SB-004,SB-FRZ00136,5200,1,5200
ORD-SB-004,SB-GRO0034,6300,2,12600
ORD-SB-005,SB-GRO005,4000,2,8000
ORD-SB-005,SB-GRO0059,14200,1,14200
ORD-SB-005,SB-GRO0027,60400,1,60400
ORD-SB-005,SB-FRZ00137,16300,2,32600
ORD-SB-005,SB-FRS0093,35900,2,71800
ORD-SB-005,SB-FRS00101,26200,2,52400
ORD-SB-006,SB-GRO006,8700,1,8700
ORD-SB-006,SB-GRO0058,7500,1,7500
ORD-SB-006,SB-GRO0035,135900,1,135900
ORD-SB-006,SB-FRZ00138,8800,2,17600
ORD-SB-006,SB-GRO008,7600,1,7600
ORD-SB-006,SB-FRS00102,65300,2,130600
ORD-SB-007,SB-GRO007,10900,1,10900
ORD-SB-007,SB-GRO0056,4300,2,8600
ORD-SB-007,SB-GRO0036,28500,1,28500
ORD-SB-007,SB-FRZ00151,31800,2,63600
ORD-SB-007,SB-GRO0031,3100,2,6200
ORD-SB-007,SB-FRS00103,18100,2,36200
ORD-SB-008,SB-GRO008,7600,1,7600
ORD-SB-008,SB-GRO0055,32100,2,64200
ORD-SB-008,SB-GRO0037,56500,1,56500
ORD-SB-008,SB-FRZ00152,46600,2,93200
ORD-SB-008,SB-GRO0051,70700,1,70700
ORD-SB-008,SB-FRS00104,38500,2,77000
ORD-SB-009,SB-GRO0010,8800,2,17600
ORD-SB-009,SB-GRO0053,14200,2,28400
ORD-SB-009,SB-GRO0049,85700,1,85700
ORD-SB-009,SB-FRZ00153,26800,1,26800
ORD-SB-009,SB-FRS0086,20400,1,20400
ORD-SB-009,SB-FRS00108,16800,2,33600
ORD-SB-0012,SB-GRO0014,8700,1,8700
ORD-SB-0012,SB-GRO0050,65300,2,130600
ORD-SB-0012,SB-LIV00168,31900,2,63800
ORD-SB-0012,SB-FRS00101,26200,2,52400
ORD-SB-0012,SB-FRS00111,6900,1,6900
ORD-SB-0013,SB-GRO0015,18200,2,36400
ORD-SB-0013,SB-GRO005,4000,1,4000
ORD-SB-0013,SB-FRS0072,61300,1,61300
ORD-SB-0013,SB-LIV00181,18600,1,18600
ORD-SB-0013,SB-FRS0079,29300,1,29300
ORD-SB-0013,SB-FRS00112,6900,1,6900
ORD-SB-0014,SB-GRO0016,16100,2,32200
ORD-SB-0014,SB-GRO0048,41800,2,83600
ORD-SB-0014,SB-FRS0079,29300,2,58600
ORD-SB-0014,SB-LIV00182,11700,1,11700
ORD-SB-0014,SB-LIV00190,37100,1,37100
ORD-SB-0014,SB-FRS00113,6400,1,6400
