Order_Date,Order_ID,Cust_ID,Order_Total,Item Quantity,Delivery_ID,Payment_ID,Status
2023-06-01,ORD-SB-001,SD-USR1001,232400,6,DEL-SB02,PAY-SD04,Delivered
2023-06-01,ORD-SB-002,SD-USR1002,290800,9,DEL-SB04,PAY-SD06,Delivered
2023-06-01,ORD-SB-003,SD-USR1003,271800,6,DEL-SB01,PAY-SD07,Delivered
2023-06-01,ORD-SB-004,SD-USR1004,94600,5,DEL-SB01,PAY-SD06,Delivered
2023-06-01,ORD-SB-005,SD-USR1005,237300,10,DEL-SB05,PAY-SD07,Delivered
2023-06-01,ORD-SB-006,SD-USR1006,257600,9,DEL-SB04,PAY-SD05,Delivered
2023-06-01,ORD-SB-007,SD-USR1007,157500,9,DEL-SB04,PAY-SD07,Delivered
2023-06-01,ORD-SB-008,SD-USR1008,338300,9,DEL-SB04,PAY-SD01,Delivered
2023-06-01,ORD-SB-009,SD-USR1009,224100,9,DEL-SB06,PAY-SD05,Delivered
2023-06-01,ORD-SB-0010,SD-USR10010,221700,6,DEL-SB01,PAY-SD06,Delivered
2023-06-01,ORD-SB-0011,SD-USR10011,285300,6,DEL-SB01,PAY-SD04,Delivered
2023-06-02,ORD-SB-0012,SD-USR10012,246100,9,DEL-SB05,PAY-SD06,Delivered
2023-06-02,ORD-SB-0013,SD-USR10013,175100,8,DEL-SB05,PAY-SD05,Delivered
2023-06-02,ORD-SB-0014,SD-USR10014,257000,10,DEL-SB06,PAY-SD05,Delivered
2023-06-02,ORD-SB-0015,SD-USR10015,199800,10,DEL-SB04,PAY-SD04,Delivered
2023-06-02,ORD-SB-0016,SD-USR10016,328000,8,DEL-SB06,PAY-SD01,Delivered
2023-06-02,ORD-SB-0017,SD-USR10017,179500,7,DEL-SB01,PAY-SD07,Delivered
2023-06-02,ORD-SB-0018,SD-USR10018,126500,8,DEL-SB04,PAY-SD06,Delivered
2023-06-02,ORD-SB-0019,SD-USR10019,650100,8,DEL-SB06,PAY-SD02,Delivered
2023-06-02,ORD-SB-0020,SD-USR10020,245600,8,DEL-SB05,PAY-SD07,Delivered
2023-06-02,ORD-SB-0021,SD-USR10021,328900,8,DEL-SB04,PAY-SD02,Delivered
2023-06-03,ORD-SB-0022,SD-USR10022,355500,7,DEL-SB01,PAY-SD02,Delivered
2023-06-03,ORD-SB-0023,SD-USR10023,320900,7,DEL-SB01,PAY-SD02,Delivered
2023-06-03,ORD-SB-0024,SD-USR10024,384500,7,DEL-SB03,PAY-SD01,Delivered
2023-06-03,ORD-SB-0025,SD-USR10025,170600,7,DEL-SB03,PAY-SD07,Delivered
2023-06-03,ORD-SB-0026,SD-USR10026,164800,7,DEL-SB01,PAY-SD05,Delivered
2023-06-03,ORD-SB-0027,SD-USR10027,133900,9,DEL-SB05,PAY-SD05,Delivered
2023-06-03,ORD-SB-0028,SD-USR10028,150900,9,DEL-SB06,PAY-SD06,Delivered
2023-06-03,ORD-SB-0029,SD-USR10029,134000,8,DEL-SB05,PAY-SD05,Delivered
2023-06-03,ORD-SB-0030,SD-USR10030,234200,8,DEL-SB04,PAY-SD06,Delivered
2023-06-03,ORD-SB-0031,SD-USR10031,201100,8,DEL-SB06,PAY-SD04,Delivered
2023-06-03,ORD-SB-0032,SD-USR10032,474700,9,DEL-SB05,PAY-SD03,Delivered
2023-06-04,ORD-SB-0033,SD-USR10033,379700,8,DEL-SB06,PAY-SD03,Delivered
2023-06-04,ORD-SB-0034,SD-USR10034,340300,7,DEL-SB03,PAY-SD02,Delivered
2023-06-04,ORD-SB-0035,SD-USR10035,59000,8,DEL-SB04,PAY-SD06,Delivered
